Source,Env,Run_Type,CPU1_TotalTime,CPU1_EPS,CPU1_TotalEvents,CPU1_LatencyAvg,CPUMulti_TotalTime,CPUMulti_EPS,CPUMulti_TotalEvents,CPUMulti_LatencyAvg,MEM_Ops_Per_Sec,MEM_MiB_Sec,IO_Reads_s,IO_Writes_s,IO_Fsyncs_s,IO_Read_MiB_s,IO_Write_MiB_s,IO_TotalTime,IO_TotalEvents,IO_Latency_Min,IO_Avg,IO_Max,IO_95th,IO_Sum
laptop,tcg,vertical,10.0157s,83.64,838,11.91,10.0177s,128.51,1288,31.05,552466.15,539.52,337.83,225.22,905.97,5.28,3.52,11.0052s,14128,0.02,11.33,340.92,66.84,160049.23
laptop,tcg,parallel_2,10.0047s,137.96,1381,7.23,10.0269s,138.27,1388,28.76,434197.76,424.02,314.21,209.47,857.91,4.91,3.27,10.8823s,12990,0.01,12.33,498.65,75.82,160215.49
laptop,tcg,parallel_1,10.0200s,137.02,1374,7.27,10.0159s,138.15,1385,28.83,440389.61,430.07,300.53,200.36,813.68,4.7,3.13,11.5727s,13174,0.01,12.17,484.21,77.19,160312.9
laptop,kvm,vertical,10.0010s,434.63,4347,2.3,10.0011s,930.27,9304,4.3,4517849.64,4411.96,340.03,226.68,911.17,5.31,3.54,10.5872s,13599,0,11.81,1083.06,75.82,160561.25
laptop,kvm,parallel_2,10.0160s,963.12,9647,1.04,10.0050s,1001.77,10023,3.98,4744037.86,4632.85,317.93,211.96,867,4.97,3.31,10.3792s,12451,0,12.88,962.98,70.55,160347.47
laptop,kvm,parallel_1,10.0006s,948.21,9483,1.05,10.0045s,996.42,9969,4.01,5201086.74,5079.19,354.42,236.28,942.61,5.54,3.69,10.3264s,13786,0,11.62,1518.82,62.19,160220.38
laptop,docker,vertical,10.0006s,580.93,5810,1.72,10.0089s,609.14,6097,6.56,3301521.48,3224.14,1354.19,902.79,3073.09,21.16,14.11,10.5448s,54158,0,2.95,24.23,7.04,159707.21
laptop,docker,parallel_2,10.0011s,926.65,9268,1.08,10.0016s,974.11,9743,4.1,5213509.43,5091.32,660.03,440.18,1594.08,10.31,6.88,10.6340s,26604,0,6.02,40.81,17.95,160078.54
laptop,docker,parallel_1,10.0003s,1000.42,10005,1,10.0024s,922.25,9225,4.33,4415545.7,4312.06,630.06,419.89,1521.62,9.84,6.56,11.0477s,26363,0,6.07,45.02,17.95,160122.67
aws,tcg,vertical,10.0083s,92.45,926,10.78,10.0207s,95.41,957,41.74,384657.06,375.64,439.55,293.03,1112.46,6.87,4.58,11.1800s,18604,0.02,8.6,449.77,51.94,159925.71
aws,tcg,parallel_2,10.0070s,95.72,959,10.41,10.0282s,95.52,959,41.73,382829.76,373.86,353.3,235.53,926.95,5.52,3.68,11.1967s,14942,0.02,10.7,372.55,63.32,159866.81
aws,tcg,parallel_1,10.0049s,93.95,941,10.61,10.0275s,95.34,957,41.76,391750.67,382.57,354.17,236.26,933.61,5.53,3.69,11.1730s,14988,0.02,10.67,422.28,64.47,159941.46
aws,docker,vertical,10.0005s,302.79,3029,3.3,10.0084s,311.88,3122,12.8,451684.91,441.1,4914.47,3276.55,10688.56,76.79,51.2,10.0097s,186964,0,0.85,19.58,6.21,159594.2
aws,docker,parallel_2,10.0008s,303.91,3040,3.29,10.0085s,303.89,3042,13.13,625188.19,610.54,4070.55,2713.86,8875.92,63.6,42.4,10.0359s,155146,0,1.03,40.9,6.91,159772.39
aws,docker,parallel_1,10.0011s,307.6,3077,3.25,10.0028s,307.46,3076,13,462884.65,452.04,2342.1,1561.57,5200.37,36.6,24.4,10.0144s,89140,0,1.79,72.02,8.28,159834.12
